# modid|filename|score|maxscore
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=1#mods
50471|melodeei.mod|10|10
50474|melodic.mod|10|10
50498|melon.mod|10|10
50665|menutune.s3m|10|10
68014|meo-sleeping_waste.mod|10|10
50812|met-orio.it|10|10
51353|mg_opus.it|10|10
173635|mhian.it|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=12#mods
95497|midnight_run.mod|10|10
51992|missing2.mod|10|10
73096|missing_time.s3m|10|10
52061|mitzmusik.s3m|10|10
52195|mm_le.xm|10|10
52297|modrave2.s3m|10|10
94795|monochrome_dreams.mod|10|10
165282|moonflight.xm|10|10
52414|moongazr.mod|10|10
150238|moonlit_city_seen_an_angel_part_3.xm|10|10
52476|mortal.s3m|10|10
108484|mortimers_chipdisko.mod|10|10
160630|mothershipftw-stroberev2.xm|10|10
144731|mouve_mouve.xm|10|10
52590|mpn-into.xm|10|10
52643|mrdeath-frequency_shifter.mod|10|10
169615|muffler_-_aphrodisiae.mod|10|10
94123|muffy_the_4wd_kat.mod|10|10
161862|mush_-_spirit.mod|10|10
53377|mutton.xm|10|10
53996|mylove.xm|10|10
81860|my_angel.mod|10|10
103413|my_glamorous_life.mod|10|10
149828|my_styles.xm|10|10
143220|naked_carrion_v_2_1a.xm|10|10
49357|nali.it|10|10
49515|nature.xm|10|10
49708|nbz-hgt2.xm|10|10
49713|nbz-hgt4.xm|10|10
49722|nbz-jdnc.xm|10|10
49737|nbz-viss.xm|10|10
49629|nb_oafk6.s3m|10|10
155188|nb_time.it|10|10
49921|neodrink.mod|10|10
168242|neophite_-_emotions.s3m|10|10
140965|nes-grm1.xm|10|10
50275|newjenn3.it|10|10
50415|nf-or16b.xm|10|10
67954|ngz-chnq.xm|10|10
134391|nicollete.xm|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=13#mods
50862|nimbus.xm|10|10
50901|ninja.xm|10|10
169210|nitro_-_tolerance.xm|10|10
110969|nsptitel.mod|10|10
51900|nuke-blv.xm|10|10
52106|nz_adv.xm|10|10
140478|of_myth_and_legend.xm|10|10
50496|om2097f_menu.s3m|10|10
50655|onelife.it|10|10
89326|one_more_night.mod|10|10
50715|onfire.xm|10|10
128901|only_for_wild_ones.mod|10|10
50944|openerr.xm|10|10
50957|openmind.s3m|10|10
50978|opessenc.xm|10|10
51089|orchard.it|10|10
154120|organized_chaos.xm|10|10
89553|orgasmod.mod|10|10
49886|outer-cl.xm|10|10
172061|outlaw_memories.mod|10|10
72101|out_on_the_town.s3m|10|10
80185|overdrive_title.mod|10|10
152358|overhead.xm|10|10
173504|over_the_mountains.xm|10|10
79958|own_song.mod|10|10
163102|oxide_-_poseidon2001.ahx|10|10
161180|oxide_-_sadness.xm|10|10
145309|ox_king_size_bull.xm|10|10
52882|p5_fawk.it|10|10
73620|panic_2nd_version.s3m|10|10
53172|paradisesea.xm|10|10
164199|paradoxic_-_emotions.xm|10|10
53217|paranor.mod|10|10
139624|party_on_funk-o-tron.xm|10|10
160680|patrick_phelan_-_zoolrave.mod|10|10
53421|paul.mod|10|10
53534|pb_walker.xm|10|10
146553|peaceful_journey.xm|10|10
141066|perfect_circle_edit.xm|10|10
135878|perfect_system.xm|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=14#mods
142221|phantasmagoria.xm|10|10
104644|physical_presence.mod|10|10
153690|picture_of_her_16-bit.xm|10|10
163019|pip-megadeth-symphonyofdestruction.it|10|10
172482|pk_htrj.xm|10|10
172484|pk_lz0_02.xm|10|10
172485|pk_lz0_03.xm|10|10
172486|pk_lz0_05.xm|10|10
172488|pk_lz0_06.xm|10|10
172489|pk_lz0_07.xm|10|10
173018|pk_nrv_02.xm|10|10
172491|pk_z0rkes_cracktro_tune.xm|10|10
1143|plague.it|10|10
55486|playing_.xm|10|10
154998|pling-1020.xm|10|10
55534|plntsrmx.xm|10|10
137536|poisoned_sun.xm|10|10
171374|poison_-_waterfall.s3m|10|10
116600|polish_gayzombies.mod|10|10
129407|polopiryna.mod|10|10
55962|popcorn99.xm|10|10
171285|ppessi_-_wicked.xm|10|10
94248|primal_urge_0434.mod|10|10
56529|pro-abys.it|10|10
168101|prophet_-_hallucination.mod|10|10
167088|psishock-restricted_harmony.it|10|10
57039|pthought.xm|10|10
73164|pure_inspiration.s3m|10|10
162157|purpleclouds1.mod|10|10
53214|r-aphro.xm|10|10
126|r-aurora.xm|10|10
53229|r-boreal.xm|10|10
53251|r-funky.xm|10|10
53254|r-gall64.xm|10|10
53291|r-nite.xm|10|10
53297|r-skar64.xm|10|10
53303|r-summer.xm|10|10
53309|r-techno.xm|10|10
67622|radix-asm95_icecream_girl.xm|10|10
67590|radix-rainy_summerdays.mod|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=15#mods
67561|radix-unreal_superhero.xm|10|10
67552|random_voice-monday.mod|10|10
146554|raping_a_monkey.xm|10|10
72272|rapmunda_mix2-the_revenge.s3m|10|10
70451|realm_of_chaos.s3m|10|10
112501|red_velvet.mod|10|10
65318|reggae1.xm|10|10
135838|related_memories.xm|10|10
54794|renov.mod|10|10
54880|rest.xm|10|10
165461|returntoreticence.xm|10|10
55480|river.it|10|10
136815|robocop3.xm|10|10
55687|robotic.it|10|10
56275|rockyou.mod|10|10
56295|rofchaos.s3m|10|10
56757|rubicon.mod|10|10
159206|rustyruins.it|10|10
140314|r_a_p_t_u_r_e.xm|10|10
54826|sac5985.xm|10|10
54934|sadstor2.xm|10|10
173676|saga_musix_-_arrival.it|10|10
172252|saga_musix_-_discovery.it|10|10
172781|saga_musix_-_heaven.it|10|10
170625|saga_musix_-_the_knights_story.it|10|10
54979|sage.xm|10|10
55102|salcon.mod|10|10
55686|scity.xm|10|10
55689|sck-over.it|10|10
163559|scorpik_-_face.mod|10|10
139072|scrutiny.xm|10|10
55979|se-after.xm|10|10
170410|searcheffort.xm|10|10
137132|seeker.xm|10|10
68783|seldom_seen.xm|10|10
68958|seven_wonders.s3m|10|10
56869|shave.xm|10|10
71365|she_walked_tall.s3m|10|10
56950|shine.it|10|10
57015|shittune.xm|10|10
