# modid|filename|score|maxscore
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=1#mods
44331|gxtechno.it|4|10
42720|g_sister.xm|4|10
44372|h-core2.xm|4|10
44383|h0wbash.it|4|10
44485|half.s3m|4|10
44504|hallon.mod|4|10
72881|halloween_ii.s3m|4|10
44550|haloweentreat2.it|4|10
44571|hammer.mod|4|10
44590|hangman.xm|4|10
44774|hard.xm|4|10
44944|haunt.it|4|10
44993|hazzard.it|4|10
45047|hcvmix.xm|4|10
45070|hde.xm|4|10
45073|hdream.xm|4|10
74104|heart_of_the_evil.s3m|4|10
45441|hendrix.mod|4|10
46167|holliw.mod|4|10
138331|holographix.xm|4|10
46291|hoobie.xm|4|10
142350|hoven.xm|4|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=8#mods
169275|hubbard1_rmx_.mod|4|10
75298|hyc-o-matic.mod|4|10
47391|hypxtc.xm|4|10
44438|i-c-e.xm|4|10
44626|ibldlst.it|4|10
44659|ice333.xm|4|10
44744|icem-hel.xm|4|10
44747|icem-imm.xm|4|10
165498|iceman_-_popcorn.mod|4|10
44683|ice_mc.mod|4|10
44686|ice_mt.s3m|4|10
44816|icq.xm|4|10
44934|if_i_cc.xm|4|10
45038|ik.xm|4|10
45043|ikaguya.s3m|4|10
45175|ilwu-st.s3m|4|10
45288|immersio.it|4|10
121103|impressions_we_need.mod|4|10
165716|infant_-_toy.mod|4|10
168826|infernvisoins.xm|4|10
45744|injuns.xm|4|10
45882|inside.mod|4|10
125199|intel_toilet.mod|4|10
44402|interpol.xm|4|10
46086|into_the_shadow.mod|4|10
46154|intro000.it|4|10
46271|inv_mont.xm|4|10
46335|inyreyes.mod|4|10
44425|itsasin.mod|4|10
46802|ivory.s3m|4|10
44512|i_miss_u.xm|4|10
44388|j-etrnty.s3m|4|10
164761|jaedan_-_mm3spark.xm|4|10
44830|jamers.xm|4|10
44951|japan.xm|4|10
165275|jay_fx_-_hardcore_heaven.mod|4|10
45111|jazzmeup.xm|4|10
165741|jazznocn.xm|4|10
45447|jcity_ni.xm|4|10
45834|jj-yam.it|4|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=9#mods
74105|job_73_-_bolleke.s3m|4|10
46141|jollypgn.it|4|10
165200|josh_weeks_-_blue_suede_shoes.mod|4|10
165206|js_fi_-_sweet_dreams.mod|4|10
44576|j_devil.xm|4|10
44598|j_grovy3.xm|4|10
47150|k3-intr5.mod|4|10
47342|ka-mazes.xm|4|10
47345|ka-mmrtl.xm|4|10
47394|kaizsu_-_lullaby.xm|4|10
47431|kajko_title.mod|4|10
47439|kakofoni.mod|4|10
47441|kaktus.xm|4|10
47468|kan-puut.s3m|4|10
47497|karjala.xm|4|10
47508|kasakka.mod|4|10
47515|kasvualusta.it|4|10
47520|katharsi.mod|4|10
47536|kay.it|4|10
47551|kbkredit.it|4|10
47561|kcuf.xm|4|10
47583|keep.mod|4|10
47630|kepuli.it|4|10
47643|keuboard.xm|4|10
